% CFC113 concentrations in atmosphere (vol/vol). Data source:
% John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.96050000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.96100000e+03 5.00000000e-14 5.00000000e-14 5.00000000e-14
 1.96150000e+03 1.00000000e-13 1.00000000e-13 1.00000000e-13
 1.96200000e+03 2.00000000e-13 1.00000000e-13 1.50000000e-13
 1.96250000e+03 3.00000000e-13 1.00000000e-13 2.00000000e-13
 1.96300000e+03 4.00000000e-13 2.00000000e-13 3.00000000e-13
 1.96350000e+03 5.00000000e-13 3.00000000e-13 4.00000000e-13
 1.96400000e+03 6.50000000e-13 4.00000000e-13 5.25000000e-13
 1.96450000e+03 8.00000000e-13 5.00000000e-13 6.50000000e-13
 1.96500000e+03 9.50000000e-13 6.50000000e-13 8.00000000e-13
 1.96550000e+03 1.10000000e-12 8.00000000e-13 9.50000000e-13
 1.96600000e+03 1.29500000e-12 9.50000000e-13 1.12250000e-12
 1.96650000e+03 1.49000000e-12 1.10000000e-12 1.29500000e-12
 1.96700000e+03 1.74000000e-12 1.29500000e-12 1.51750000e-12
 1.96750000e+03 1.99000000e-12 1.49000000e-12 1.74000000e-12
 1.96800000e+03 2.34000000e-12 1.74000000e-12 2.04000000e-12
 1.96850000e+03 2.69000000e-12 1.99000000e-12 2.34000000e-12
 1.96900000e+03 3.04000000e-12 2.29000000e-12 2.66500000e-12
 1.96950000e+03 3.39000000e-12 2.59000000e-12 2.99000000e-12
 1.97000000e+03 3.78500000e-12 2.94000000e-12 3.36250000e-12
 1.97050000e+03 4.18000000e-12 3.29000000e-12 3.73500000e-12
 1.97100000e+03 4.68000000e-12 3.68500000e-12 4.18250000e-12
 1.97150000e+03 5.18000000e-12 4.08000000e-12 4.63000000e-12
 1.97200000e+03 5.72500000e-12 4.58000000e-12 5.15250000e-12
 1.97250000e+03 6.27000000e-12 5.08000000e-12 5.67500000e-12
 1.97300000e+03 6.87000000e-12 5.63000000e-12 6.25000000e-12
 1.97350000e+03 7.47000000e-12 6.18000000e-12 6.82500000e-12
 1.97400000e+03 8.21500000e-12 6.77500000e-12 7.49500000e-12
 1.97450000e+03 8.96000000e-12 7.37000000e-12 8.16500000e-12
 1.97500000e+03 9.81000000e-12 8.06500000e-12 8.93750000e-12
 1.97550000e+03 1.06600000e-11 8.76000000e-12 9.71000000e-12
 1.97600000e+03 1.15550000e-11 9.56000000e-12 1.05575000e-11
 1.97650000e+03 1.24500000e-11 1.03600000e-11 1.14050000e-11
 1.97700000e+03 1.35450000e-11 1.13050000e-11 1.24250000e-11
 1.97750000e+03 1.46400000e-11 1.22500000e-11 1.34450000e-11
 1.97800000e+03 1.57850000e-11 1.32950000e-11 1.45400000e-11
 1.97850000e+03 1.69300000e-11 1.43400000e-11 1.56350000e-11
 1.97900000e+03 1.82750000e-11 1.54850000e-11 1.68800000e-11
 1.97950000e+03 1.96200000e-11 1.66300000e-11 1.81250000e-11
 1.98000000e+03 2.11150000e-11 1.79750000e-11 1.95450000e-11
 1.98050000e+03 2.26100000e-11 1.93200000e-11 2.09650000e-11
 1.98100000e+03 2.42550000e-11 2.07650000e-11 2.25100000e-11
 1.98150000e+03 2.59000000e-11 2.22100000e-11 2.40550000e-11
 1.98200000e+03 2.75400000e-11 2.37550000e-11 2.56475000e-11
 1.98250000e+03 2.91800000e-11 2.53000000e-11 2.72400000e-11
 1.98300000e+03 3.10750000e-11 2.66950000e-11 2.88850000e-11
 1.98350000e+03 3.29700000e-11 2.80900000e-11 3.05300000e-11
 1.98400000e+03 3.54100000e-11 2.97300000e-11 3.25700000e-11
 1.98450000e+03 3.78500000e-11 3.13700000e-11 3.46100000e-11
 1.98500000e+03 4.08850000e-11 3.36650000e-11 3.72750000e-11
 1.98550000e+03 4.39200000e-11 3.59600000e-11 3.99400000e-11
 1.98600000e+03 4.61150000e-11 3.84500000e-11 4.22825000e-11
 1.98650000e+03 4.83100000e-11 4.09400000e-11 4.46250000e-11
 1.98700000e+03 5.19950000e-11 4.39750000e-11 4.79850000e-11
 1.98750000e+03 5.56800000e-11 4.70100000e-11 5.13450000e-11
 1.98800000e+03 5.96150000e-11 5.01500000e-11 5.48825000e-11
 1.98850000e+03 6.35500000e-11 5.32900000e-11 5.84200000e-11
 1.98900000e+03 6.66350000e-11 5.64750000e-11 6.15550000e-11
 1.98950000e+03 6.97200000e-11 5.96600000e-11 6.46900000e-11
 1.99000000e+03 7.26600000e-11 6.29000000e-11 6.77800000e-11
 1.99050000e+03 7.56000000e-11 6.61400000e-11 7.08700000e-11
 1.99100000e+03 7.82900000e-11 6.87250000e-11 7.35075000e-11
 1.99150000e+03 8.09800000e-11 7.13100000e-11 7.61450000e-11
 1.99200000e+03 8.24700000e-11 7.42500000e-11 7.83600000e-11
 1.99250000e+03 8.39600000e-11 7.71900000e-11 8.05750000e-11
 1.99300000e+03 8.41600000e-11 7.83850000e-11 8.12725000e-11
 1.99350000e+03 8.43600000e-11 7.95800000e-11 8.19700000e-11
 1.99400000e+03 8.44100000e-11 8.04250000e-11 8.24175000e-11
 1.99450000e+03 8.44600000e-11 8.12700000e-11 8.28650000e-11
 1.99500000e+03 8.44100000e-11 8.17200000e-11 8.30650000e-11
 1.99550000e+03 8.43600000e-11 8.21700000e-11 8.32650000e-11
 1.99600000e+03 8.42100000e-11 8.24200000e-11 8.33150000e-11
 1.99650000e+03 8.40600000e-11 8.26700000e-11 8.33650000e-11
 1.99700000e+03 8.38150000e-11 8.26700000e-11 8.32425000e-11
 1.99750000e+03 8.35700000e-11 8.26700000e-11 8.31200000e-11
 1.99800000e+03 8.33700000e-11 8.25700000e-11 8.29700000e-11
 1.99850000e+03 8.31700000e-11 8.24700000e-11 8.28200000e-11
 1.99900000e+03 8.28200000e-11 8.22200000e-11 8.25200000e-11
 1.99950000e+03 8.24700000e-11 8.19700000e-11 8.22200000e-11
 2.00000000e+03 8.21700000e-11 8.16700000e-11 8.19200000e-11
 2.00050000e+03 8.18700000e-11 8.13700000e-11 8.16200000e-11
 2.00100000e+03 8.15250000e-11 8.10750000e-11 8.13000000e-11
 2.00150000e+03 8.11800000e-11 8.07800000e-11 8.09800000e-11
 2.00200000e+03 8.08300000e-11 8.03800000e-11 8.06050000e-11
 2.00250000e+03 8.04800000e-11 7.99800000e-11 8.02300000e-11
 2.00300000e+03 8.01800000e-11 7.96800000e-11 7.99300000e-11
 2.00350000e+03 7.98800000e-11 7.93800000e-11 7.96300000e-11
 2.00400000e+03 7.94800000e-11 7.90800000e-11 7.92800000e-11
 2.00450000e+03 7.90800000e-11 7.87800000e-11 7.89300000e-11
 2.00500000e+03 7.87850000e-11 7.84350000e-11 7.86100000e-11
 2.00550000e+03 7.84900000e-11 7.80900000e-11 7.82900000e-11
 2.00600000e+03 7.80900000e-11 7.78400000e-11 7.79650000e-11
 2.00650000e+03 7.76900000e-11 7.75900000e-11 7.76400000e-11
 2.00700000e+03 7.73400000e-11 7.71900000e-11 7.72650000e-11
 2.00750000e+03 7.69900000e-11 7.67900000e-11 7.68900000e-11
 2.00800000e+03 7.66400000e-11 7.64950000e-11 7.65675000e-11
 2.00850000e+03 7.62900000e-11 7.62000000e-11 7.62450000e-11
 2.00900000e+03 7.60550000e-11 7.58300000e-11 7.59425000e-11
 2.00950000e+03 7.58200000e-11 7.54600000e-11 7.56400000e-11
 2.01000000e+03 7.53200000e-11 7.50700000e-11 7.51950000e-11
 2.01050000e+03 7.48200000e-11 7.46800000e-11 7.47500000e-11
 2.01100000e+03 7.43200000e-11 7.42900000e-11 7.43050000e-11
 2.01150000e+03 7.38200000e-11 7.39000000e-11 7.38600000e-11
