% CFC12 concentrations in atmosphere (vol/vol). Data source:
% John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.97100000e+03 1.40200000e-10 1.22150000e-10 1.31175000e-10
 1.97150000e+03 1.48400000e-10 1.29600000e-10 1.39000000e-10
 1.97200000e+03 1.57250000e-10 1.37650000e-10 1.47450000e-10
 1.97250000e+03 1.66100000e-10 1.45700000e-10 1.55900000e-10
 1.97300000e+03 1.75950000e-10 1.54500000e-10 1.65225000e-10
 1.97350000e+03 1.85800000e-10 1.63300000e-10 1.74550000e-10
 1.97400000e+03 1.96450000e-10 1.72900000e-10 1.84675000e-10
 1.97450000e+03 2.07100000e-10 1.82500000e-10 1.94800000e-10
 1.97500000e+03 2.17650000e-10 1.92700000e-10 2.05175000e-10
 1.97550000e+03 2.28200000e-10 2.02900000e-10 2.15550000e-10
 1.97600000e+03 2.38150000e-10 2.13050000e-10 2.25600000e-10
 1.97650000e+03 2.48100000e-10 2.23200000e-10 2.35650000e-10
 1.97700000e+03 2.57500000e-10 2.32950000e-10 2.45225000e-10
 1.97750000e+03 2.66900000e-10 2.42700000e-10 2.54800000e-10
 1.97800000e+03 2.75600000e-10 2.51950000e-10 2.63775000e-10
 1.97850000e+03 2.84300000e-10 2.61200000e-10 2.72750000e-10
 1.97900000e+03 2.95200000e-10 2.67350000e-10 2.81275000e-10
 1.97950000e+03 3.06100000e-10 2.73500000e-10 2.89800000e-10
 1.98000000e+03 3.14650000e-10 2.82900000e-10 2.98775000e-10
 1.98050000e+03 3.23200000e-10 2.92300000e-10 3.07750000e-10
 1.98100000e+03 3.31400000e-10 3.00550000e-10 3.15975000e-10
 1.98150000e+03 3.39600000e-10 3.08800000e-10 3.24200000e-10
 1.98200000e+03 3.46500000e-10 3.17150000e-10 3.31825000e-10
 1.98250000e+03 3.53400000e-10 3.25500000e-10 3.39450000e-10
 1.98300000e+03 3.61200000e-10 3.34050000e-10 3.47625000e-10
 1.98350000e+03 3.69000000e-10 3.42600000e-10 3.55800000e-10
 1.98400000e+03 3.77350000e-10 3.51000000e-10 3.64175000e-10
 1.98450000e+03 3.85700000e-10 3.59400000e-10 3.72550000e-10
 1.98500000e+03 3.94550000e-10 3.68800000e-10 3.81675000e-10
 1.98550000e+03 4.03400000e-10 3.78200000e-10 3.90800000e-10
 1.98600000e+03 4.13850000e-10 3.87350000e-10 4.00600000e-10
 1.98650000e+03 4.24300000e-10 3.96500000e-10 4.10400000e-10
 1.98700000e+03 4.34150000e-10 4.06400000e-10 4.20275000e-10
 1.98750000e+03 4.44000000e-10 4.16300000e-10 4.30150000e-10
 1.98800000e+03 4.54700000e-10 4.26050000e-10 4.40375000e-10
 1.98850000e+03 4.65400000e-10 4.35800000e-10 4.50600000e-10
 1.98900000e+03 4.74500000e-10 4.45100000e-10 4.59800000e-10
 1.98950000e+03 4.83600000e-10 4.54400000e-10 4.69000000e-10
 1.99000000e+03 4.90650000e-10 4.63550000e-10 4.77100000e-10
 1.99050000e+03 4.97700000e-10 4.72700000e-10 4.85200000e-10
 1.99100000e+03 5.01850000e-10 4.80000000e-10 4.90925000e-10
 1.99150000e+03 5.06000000e-10 4.87300000e-10 4.96650000e-10
 1.99200000e+03 5.11150000e-10 4.92800000e-10 5.01975000e-10
 1.99250000e+03 5.16300000e-10 4.98300000e-10 5.07300000e-10
 1.99300000e+03 5.19750000e-10 5.02650000e-10 5.11200000e-10
 1.99350000e+03 5.23200000e-10 5.07000000e-10 5.15100000e-10
 1.99400000e+03 5.25850000e-10 5.10900000e-10 5.18375000e-10
 1.99450000e+03 5.28500000e-10 5.14800000e-10 5.21650000e-10
 1.99500000e+03 5.30950000e-10 5.17900000e-10 5.24425000e-10
 1.99550000e+03 5.33400000e-10 5.21000000e-10 5.27200000e-10
 1.99600000e+03 5.35350000e-10 5.23750000e-10 5.29550000e-10
 1.99650000e+03 5.37300000e-10 5.26500000e-10 5.31900000e-10
