% SF6 concentrations in atmosphere (vol/vol). Combination of data from different sources:
% - NOAA, HATS_global_SF6.txt
% - NOAA, file URL: ftp://ftp.cmdl.noaa.gov/hats/sf6/flasks/SF6global_2007.txt, downloaded on 17. June 2009, Matthias Brennwald
% - Maiss and Brenninkmejer, ES&T 1998
% - John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.99300000e+03 3.01088575e-12 2.77294341e-12 2.85220000e-12
 1.99350000e+03 3.12700573e-12 2.87988675e-12 2.96220000e-12
 1.99400000e+03 3.24792887e-12 2.99125365e-12 3.07675000e-12
 1.99450000e+03 3.36885200e-12 3.10262054e-12 3.19130000e-12
 1.99500000e+03 3.49468384e-12 3.21850823e-12 3.31050000e-12
 1.99550000e+03 3.62051569e-12 3.33439591e-12 3.42970000e-12
 1.99600000e+03 3.75125624e-12 3.45480439e-12 3.55355000e-12
 1.99650000e+03 3.88199679e-12 3.57521286e-12 3.67740000e-12
 1.99700000e+03 3.98099839e-12 3.69260643e-12 3.78466638e-12
 1.99750000e+03 4.08000000e-12 3.81000000e-12 3.89193275e-12
 1.99800000e+03 4.17500000e-12 3.92000000e-12 3.99350133e-12
 1.99850000e+03 4.27000000e-12 4.03000000e-12 4.09506990e-12
 1.99900000e+03 4.37500000e-12 4.15000000e-12 4.20651787e-12
 1.99950000e+03 4.48000000e-12 4.27000000e-12 4.31796584e-12
 2.00000000e+03 4.59000000e-12 4.36500000e-12 4.41892477e-12
 2.00050000e+03 4.70000000e-12 4.46000000e-12 4.51988370e-12
 2.00100000e+03 4.80500000e-12 4.56000000e-12 4.62104584e-12
 2.00150000e+03 4.91000000e-12 4.66000000e-12 4.72220799e-12
 2.00200000e+03 5.01000000e-12 4.77500000e-12 4.82871626e-12
 2.00250000e+03 5.11000000e-12 4.89000000e-12 4.93522453e-12
 2.00300000e+03 5.23500000e-12 4.99000000e-12 5.04585964e-12
 2.00350000e+03 5.36000000e-12 5.09000000e-12 5.15649474e-12
 2.00400000e+03 5.46500000e-12 5.20000000e-12 5.26279980e-12
 2.00450000e+03 5.57000000e-12 5.31000000e-12 5.36910485e-12
 2.00500000e+03 5.68500000e-12 5.41000000e-12 5.47500348e-12
 2.00550000e+03 5.80000000e-12 5.51000000e-12 5.58090210e-12
 2.00600000e+03 5.91500000e-12 5.63500000e-12 5.69965801e-12
 2.00650000e+03 6.03000000e-12 5.76000000e-12 5.81841391e-12
 2.00700000e+03 6.17500000e-12 5.89500000e-12 5.95652216e-12
 2.00750000e+03 6.32000000e-12 6.03000000e-12 6.09463041e-12
 2.00800000e+03 6.47000000e-12 6.16000000e-12 6.23253545e-12
 2.00850000e+03 6.62000000e-12 6.29000000e-12 6.37044049e-12
 2.00900000e+03 6.75000000e-12 6.43500000e-12 6.50658693e-12
 2.00950000e+03 6.88000000e-12 6.58000000e-12 6.64273337e-12
 2.01000000e+03 7.03000000e-12 6.72000000e-12 6.78578132e-12
 2.01050000e+03 7.18000000e-12 6.86000000e-12 6.92882927e-12
 2.01100000e+03 7.33000000e-12 7.00000000e-12 7.07187721e-12
 2.01150000e+03 7.48000000e-12 7.14000000e-12 7.21492516e-12
 2.01200000e+03 7.62100000e-12 7.29250000e-12 7.45700000e-12
 2.01250000e+03 7.73300000e-12 7.43650000e-12 7.58500000e-12
 2.01300000e+03 7.90050000e-12 7.59300000e-12 7.74650000e-12
