% CFC11 concentrations in atmosphere (vol/vol). Data source:
% John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.94450000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.94500000e+03 5.00000000e-14 0.00000000e+00 2.50000000e-14
 1.94550000e+03 1.00000000e-13 0.00000000e+00 5.00000000e-14
 1.94600000e+03 1.00000000e-13 5.00000000e-14 7.50000000e-14
 1.94650000e+03 1.00000000e-13 1.00000000e-13 1.00000000e-13
 1.94700000e+03 1.00000000e-13 1.00000000e-13 1.00000000e-13
 1.94750000e+03 1.00000000e-13 1.00000000e-13 1.00000000e-13
 1.94800000e+03 1.50000000e-13 1.00000000e-13 1.25000000e-13
 1.94850000e+03 2.00000000e-13 1.00000000e-13 1.50000000e-13
 1.94900000e+03 3.00000000e-13 1.50000000e-13 2.25000000e-13
 1.94950000e+03 4.00000000e-13 2.00000000e-13 3.00000000e-13
 1.95000000e+03 5.50000000e-13 3.00000000e-13 4.25000000e-13
 1.95050000e+03 7.00000000e-13 4.00000000e-13 5.50000000e-13
 1.95100000e+03 8.55000000e-13 5.50000000e-13 7.02500000e-13
 1.95150000e+03 1.01000000e-12 7.00000000e-13 8.55000000e-13
 1.95200000e+03 1.26000000e-12 8.55000000e-13 1.05750000e-12
 1.95250000e+03 1.51000000e-12 1.01000000e-12 1.26000000e-12
 1.95300000e+03 1.86000000e-12 1.26000000e-12 1.56000000e-12
 1.95350000e+03 2.21000000e-12 1.51000000e-12 1.86000000e-12
 1.95400000e+03 2.61500000e-12 1.86000000e-12 2.23750000e-12
 1.95450000e+03 3.02000000e-12 2.21000000e-12 2.61500000e-12
 1.95500000e+03 3.57000000e-12 2.61500000e-12 3.09250000e-12
 1.95550000e+03 4.12000000e-12 3.02000000e-12 3.57000000e-12
 1.95600000e+03 4.72500000e-12 3.52000000e-12 4.12250000e-12
 1.95650000e+03 5.33000000e-12 4.02000000e-12 4.67500000e-12
 1.95700000e+03 6.08000000e-12 4.62500000e-12 5.35250000e-12
 1.95750000e+03 6.83000000e-12 5.23000000e-12 6.03000000e-12
 1.95800000e+03 7.48500000e-12 5.88000000e-12 6.68250000e-12
 1.95850000e+03 8.14000000e-12 6.53000000e-12 7.33500000e-12
 1.95900000e+03 8.79500000e-12 7.18500000e-12 7.99000000e-12
 1.95950000e+03 9.45000000e-12 7.84000000e-12 8.64500000e-12
 1.96000000e+03 1.02550000e-11 8.49500000e-12 9.37500000e-12
 1.96050000e+03 1.10600000e-11 9.15000000e-12 1.01050000e-11
 1.96100000e+03 1.21650000e-11 1.00000000e-11 1.10825000e-11
 1.96150000e+03 1.32700000e-11 1.08500000e-11 1.20600000e-11
 1.96200000e+03 1.47250000e-11 1.19600000e-11 1.33425000e-11
 1.96250000e+03 1.61800000e-11 1.30700000e-11 1.46250000e-11
 1.96300000e+03 1.78900000e-11 1.44250000e-11 1.61575000e-11
 1.96350000e+03 1.96000000e-11 1.57800000e-11 1.76900000e-11
 1.96400000e+03 2.16600000e-11 1.74900000e-11 1.95750000e-11
 1.96450000e+03 2.37200000e-11 1.92000000e-11 2.14600000e-11
 1.96500000e+03 2.60800000e-11 2.11600000e-11 2.36200000e-11
 1.96550000e+03 2.84400000e-11 2.31200000e-11 2.57800000e-11
 1.96600000e+03 3.10550000e-11 2.53800000e-11 2.82175000e-11
 1.96650000e+03 3.36700000e-11 2.76400000e-11 3.06550000e-11
 1.96700000e+03 3.65350000e-11 3.01500000e-11 3.33425000e-11
 1.96750000e+03 3.94000000e-11 3.26600000e-11 3.60300000e-11
 1.96800000e+03 4.27150000e-11 3.54750000e-11 3.90950000e-11
 1.96850000e+03 4.60300000e-11 3.82900000e-11 4.21600000e-11
 1.96900000e+03 4.99000000e-11 4.15550000e-11 4.57275000e-11
 1.96950000e+03 5.37700000e-11 4.48200000e-11 4.92950000e-11
 1.97000000e+03 5.80900000e-11 4.85400000e-11 5.33150000e-11
 1.97050000e+03 6.24100000e-11 5.22600000e-11 5.73350000e-11
 1.97100000e+03 6.72350000e-11 5.64800000e-11 6.18575000e-11
 1.97150000e+03 7.20600000e-11 6.07000000e-11 6.63800000e-11
 1.97200000e+03 7.73850000e-11 6.53250000e-11 7.13550000e-11
 1.97250000e+03 8.27100000e-11 6.99500000e-11 7.63300000e-11
 1.97300000e+03 8.87900000e-11 7.51750000e-11 8.19825000e-11
 1.97350000e+03 9.48700000e-11 8.04000000e-11 8.76350000e-11
 1.97400000e+03 1.01605000e-10 8.62800000e-11 9.39425000e-11
 1.97450000e+03 1.08340000e-10 9.21600000e-11 1.00250000e-10
 1.97500000e+03 1.14875000e-10 9.84400000e-11 1.06657500e-10
 1.97550000e+03 1.21410000e-10 1.04720000e-10 1.13065000e-10
 1.97600000e+03 1.27690000e-10 1.10905000e-10 1.19297500e-10
 1.97650000e+03 1.33970000e-10 1.17090000e-10 1.25530000e-10
 1.97700000e+03 1.39950000e-10 1.23220000e-10 1.31585000e-10
 1.97750000e+03 1.45930000e-10 1.29350000e-10 1.37640000e-10
 1.97800000e+03 1.51255000e-10 1.35075000e-10 1.43165000e-10
 1.97850000e+03 1.56580000e-10 1.40800000e-10 1.48690000e-10
 1.97900000e+03 1.62460000e-10 1.44770000e-10 1.53615000e-10
